Week,Stratum,Number of Sites,Number of Tows,Total Number Caught,Number Marked,Number of Code 9's,Total Sample Volume,Abundance Index,Lower Bound,Upper Bound
1,Suisun Bay,5,20,0,0,0,"103,018",0*,NA,NA
1,Suisun Marsh,6,24,0,0,0,"117,435",0*,NA,NA
1,Lower Sacramento,6,22,0,0,0,"80,886",0*,NA,NA
1,Cache Slough LI,7,25,0,0,0,"95,635",0*,NA,NA
1,Sac DW Ship Channel,6,24,0,0,0,"77,127",0*,NA,NA
1,Lower San Joaquin,6,24,0,0,0,"96,208",0*,NA,NA
1,All Strata,36,139,0,0,0,"570,310",0*,NA,NA
2,Suisun Bay,2,8,0,0,0,"40,957",0*,NA,NA
2,Suisun Marsh,6,22,0,0,0,"107,367",0*,NA,NA
2,Lower Sacramento,3,12,0,0,0,"53,079",0*,NA,NA
2,Cache Slough LI,5,20,0,0,0,"64,668",0*,NA,NA
2,Sac DW Ship Channel,6,24,0,0,0,"89,304",0*,NA,NA
2,Lower San Joaquin,6,24,0,0,0,"102,125",0*,NA,NA
2,All Strata,28,110,0,0,0,"457,500",0*,NA,NA
3,Suisun Bay,6,22,0,0,0,"128,403",0*,NA,NA
3,Suisun Marsh,6,22,1,0,0,"115,314",877,94,"3,491"
3,Lower Sacramento,6,24,0,0,0,"90,774",0*,NA,NA
3,Cache Slough LI,6,20,0,0,0,"70,280",0*,NA,NA
3,Sac DW Ship Channel,6,22,0,0,0,"79,389",0*,NA,NA
3,Lower San Joaquin,6,24,0,0,0,"93,740",0*,NA,NA
3,All Strata,36,134,1,0,0,"577,900",877,94,"3,491"
4,Suisun Bay,6,22,0,0,0,"95,038",0*,NA,NA
4,Suisun Marsh,7,23,0,0,0,"103,397",0*,NA,NA
4,Lower Sacramento,6,24,0,0,0,"97,622",0*,NA,NA
4,Cache Slough LI,6,24,0,0,0,"77,714",0*,NA,NA
4,Sac DW Ship Channel,6,24,0,0,0,"96,615",0*,NA,NA
4,Lower San Joaquin,6,24,0,0,0,"95,972",0*,NA,NA
4,All Strata,37,141,0,0,0,"566,359",0*,NA,NA
5,Suisun Bay,4,14,0,0,0,"61,004",0*,NA,NA
5,Suisun Marsh,5,20,0,0,0,"92,824",0*,NA,NA
5,Lower Sacramento,6,24,0,0,0,"97,191",0*,NA,NA
5,Cache Slough LI,6,24,0,0,0,"80,122",0*,NA,NA
5,Sac DW Ship Channel,6,24,0,0,0,"88,275",0*,NA,NA
5,Lower San Joaquin,6,24,0,0,0,"89,580",0*,NA,NA
5,All Strata,33,130,0,0,0,"508,995",0*,NA,NA
6,Suisun Bay,3,12,0,0,0,"54,431",0*,NA,NA
6,Suisun Marsh,6,24,0,0,0,"112,022",0*,NA,NA
6,Lower Sacramento,6,22,0,0,0,"96,137",0*,NA,NA
6,Cache Slough LI,6,22,0,0,0,"80,874",0*,NA,NA
6,Sac DW Ship Channel,6,22,0,0,0,"79,342",0*,NA,NA
6,Lower San Joaquin,6,24,0,0,0,"98,809",0*,NA,NA
6,All Strata,33,126,0,0,0,"521,615",0*,NA,NA
7,Suisun Bay,3,12,0,0,0,"50,847",0*,NA,NA
7,Suisun Marsh,6,24,1,0,0,"113,446",812,83,"3,297"
7,Lower Sacramento,6,24,0,0,0,"105,427",0*,NA,NA
7,Cache Slough LI,6,24,0,0,0,"87,841",0*,NA,NA
7,Sac DW Ship Channel,5,20,0,0,0,"75,247",0*,NA,NA
7,Lower San Joaquin,4,14,0,0,0,"52,343",0*,NA,NA
7,All Strata,30,118,1,0,0,"485,151",812,83,"3,297"
8,Suisun Bay,6,24,0,0,0,"101,839",0*,NA,NA
8,Suisun Marsh,6,24,0,0,0,"102,728",0*,NA,NA
8,Lower Sacramento,6,23,0,0,0,"89,180",0*,NA,NA
8,Cache Slough LI,5,20,0,0,0,"67,031",0*,NA,NA
8,Sac DW Ship Channel,6,24,0,0,0,"79,693",0*,NA,NA
8,Lower San Joaquin,6,24,0,0,0,"102,654",0*,NA,NA
8,All Strata,35,139,0,0,0,"543,125",0*,NA,NA
9,Suisun Bay,6,24,0,0,0,"107,589",0*,NA,NA
9,Suisun Marsh,6,22,0,0,0,"98,370",0*,NA,NA
9,Lower Sacramento,6,24,0,0,0,"92,153",0*,NA,NA
9,Cache Slough LI,6,24,0,0,0,"95,410",0*,NA,NA
9,Sac DW Ship Channel,6,24,0,0,0,"90,960",0*,NA,NA
9,Lower San Joaquin,6,24,0,0,0,"92,394",0*,NA,NA
9,All Strata,36,142,0,0,0,"576,875",0*,NA,NA
10,Suisun Bay,6,24,0,0,0,"97,471",0*,NA,NA
10,Suisun Marsh,6,24,0,0,0,"92,712",0*,NA,NA
10,Lower Sacramento,6,24,0,0,0,"101,878",0*,NA,NA
10,Cache Slough LI,6,24,0,0,0,"77,622",0*,NA,NA
10,Sac DW Ship Channel,6,24,0,0,0,"87,098",0*,NA,NA
10,Lower San Joaquin,6,24,0,0,0,"90,827",0*,NA,NA
10,All Strata,36,144,0,0,0,"547,608",0*,NA,NA
11,Suisun Bay,6,22,0,0,0,"115,424",0*,NA,NA
11,Suisun Marsh,6,24,0,0,0,"118,002",0*,NA,NA
11,Lower Sacramento,6,24,0,0,0,"98,124",0*,NA,NA
11,Cache Slough LI,6,24,0,0,0,"87,661",0*,NA,NA
11,Sac DW Ship Channel,6,24,0,0,0,"92,284",0*,NA,NA
11,Lower San Joaquin,6,24,0,0,0,"95,548",0*,NA,NA
11,All Strata,36,142,0,0,0,"607,041",0*,NA,NA
12,Suisun Bay,4,16,0,0,0,"66,832",0*,NA,NA
12,Suisun Marsh,6,24,0,0,0,"94,827",0*,NA,NA
12,Lower Sacramento,6,23,0,0,0,"93,204",0*,NA,NA
12,Cache Slough LI,6,22,0,0,0,"77,480",0*,NA,NA
12,Sac DW Ship Channel,6,24,0,0,0,"97,101",0*,NA,NA
12,Lower San Joaquin,6,24,0,0,0,"88,645",0*,NA,NA
12,All Strata,34,133,0,0,0,"518,088",0*,NA,NA
13,Suisun Bay,4,16,0,0,0,"69,238",0*,NA,NA
13,Suisun Marsh,6,24,1,0,0,"98,810",802,78,"3,309"
13,Lower Sacramento,6,24,0,0,0,"90,966",0*,NA,NA
13,Cache Slough LI,6,24,0,0,0,"89,945",0*,NA,NA
13,Sac DW Ship Channel,6,24,0,0,0,"95,673",0*,NA,NA
13,Lower San Joaquin,6,24,0,0,0,"87,528",0*,NA,NA
13,All Strata,34,136,1,0,0,"532,159",802,78,"3,309"
14,Suisun Bay,6,24,0,0,0,"110,395",0*,NA,NA
14,Suisun Marsh,6,24,0,0,0,"103,386",0*,NA,NA
14,Lower Sacramento,6,22,0,0,0,"78,614",0*,NA,NA
14,Cache Slough LI,6,24,0,0,0,"80,636",0*,NA,NA
14,Sac DW Ship Channel,6,24,0,0,0,"87,181",0*,NA,NA
14,Lower San Joaquin,4,13,0,0,0,"44,727",0*,NA,NA
14,All Strata,34,131,0,0,0,"504,938",0*,NA,NA
15,Suisun Marsh,6,24,0,0,0,"103,829",0*,NA,NA
15,All Strata,6,24,0,0,0,"103,829",0*,NA,NA
16,Suisun Bay,6,24,0,0,0,"95,444",0*,NA,NA
16,Suisun Marsh,6,24,0,0,0,"93,428",0*,NA,NA
16,Lower Sacramento,6,24,0,0,0,"90,985",0*,NA,NA
16,Cache Slough LI,6,24,0,0,0,"82,116",0*,NA,NA
16,Sac DW Ship Channel,6,24,0,0,0,"87,670",0*,NA,NA
16,Lower San Joaquin,6,24,0,0,0,"90,457",0*,NA,NA
16,All Strata,36,144,0,0,0,"540,100",0*,NA,NA
17,Suisun Bay,6,24,0,0,0,"96,337",0*,NA,NA
17,Suisun Marsh,6,24,0,0,0,"84,561",0*,NA,NA
17,Lower Sacramento,6,24,0,0,0,"96,191",0*,NA,NA
17,Cache Slough LI,6,24,0,0,0,"84,678",0*,NA,NA
17,Sac DW Ship Channel,6,24,0,0,0,"88,389",0*,NA,NA
17,Lower San Joaquin,6,24,0,0,0,"92,333",0*,NA,NA
17,All Strata,36,144,0,0,0,"542,489",0*,NA,NA
18,Suisun Bay,6,24,0,0,0,"101,612",0*,NA,NA
18,Suisun Marsh,6,24,0,0,0,"115,630",0*,NA,NA
18,Lower Sacramento,6,24,0,0,0,"88,325",0*,NA,NA
18,Cache Slough LI,6,24,0,0,0,"89,415",0*,NA,NA
18,Sac DW Ship Channel,6,24,0,0,0,"84,418",0*,NA,NA
18,Lower San Joaquin,6,24,0,0,0,"91,846",0*,NA,NA
18,All Strata,36,144,0,0,0,"571,246",0*,NA,NA
19,Suisun Bay,6,24,0,0,0,"115,585",0*,NA,NA
19,Suisun Marsh,6,24,1,0,0,"113,833",769,78,"3,119"
19,Lower Sacramento,6,24,1,0,0,"97,872",380,35,"1,602"
19,Cache Slough LI,5,20,0,0,0,"70,930",0*,NA,NA
19,Sac DW Ship Channel,6,24,0,0,0,"84,687",0*,NA,NA
19,Lower San Joaquin,4,16,0,0,0,"63,512",0*,NA,NA
19,All Strata,33,132,2,0,0,"546,420","1,149",189,"3,866"
